[2017-05-05 14:36:43.064413] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.066133] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.067961] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.069734] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.072054] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.076059] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:07 | packet count 0 | byte count 0
[2017-05-05 14:36:43.080126] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.082700] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.085317] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.088202] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.090111] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.094465] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.096275] dl_src 00:00:00:00:00:02 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.098217] dl_src 00:00:00:00:00:09 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.099754] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.102533] dl_src 00:00:00:00:00:03 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.104519] dl_src 00:00:00:00:00:05 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.106381] dl_src 00:00:00:00:00:01 dl_dst  00:00:00:00:00:09 | packet count 2 | byte count 196
[2017-05-05 14:36:43.108228] dl_src 00:00:00:00:00:07 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.110192] dl_src 00:00:00:00:00:04 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
[2017-05-05 14:36:43.111403] dl_src 00:00:00:00:00:06 dl_dst  00:00:00:00:00:08 | packet count 0 | byte count 0
[2017-05-05 14:36:43.113145] dl_src 00:00:00:00:00:08 dl_dst  00:00:00:00:00:09 | packet count 0 | byte count 0
